"tweets.id" "tweets.created" "tweets.text"
"132" "801494395241529344" 1479926129 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"133" "801494306385227776" 1479926108 "@CFBPlayoff @UMichFootball @OhioStateFB @drpepper @espn Columbus* Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç"
"134" "801494067188273152" 1479926051 "@UMichFootball has beaten @OhioStateFB once since I graduated. Excited to see @CoachJim4UM  ushering in a new era."
"135" "801493931351539718" 1479926018 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"136" "801493517008830471" 1479925920 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"137" "801493440345374720" 1479925901 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"138" "801493069711314944" 1479925813 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"139" "801492687539077120" 1479925722 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"140" "801492607788523520" 1479925703 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"141" "801492583306276864" 1479925697 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"142" "801492293924646912" 1479925628 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"143" "801492283124285440" 1479925625 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"144" "801491931826180096" 1479925542 "@CFBPlayoff @UMichFootball @OhioStateFB @drpepper @espn that tweet sums up #CFBPlayoff . Columbus !!"
"145" "801491738347110409" 1479925496 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"146" "801491731632029700" 1479925494 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"147" "801491680025137152" 1479925482 "RT @NFL_CFB: The top 6 in the #CFBPlayoff rankings:

1. @AlabamaFTBL
2. @OhioStateFB
3. @UMichFootball
4. @ClemsonFB
5. @UW_Football 
6. @B‚Ä¶"
"148" "801491566883962880" 1479925455 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"149" "801491516514451456" 1479925443 "@CFBPlayoff @UMichFootball @OhioStateFB @drpepper @espn COLOMBUS? What say you, @BlueJacketsNHL?"
"150" "801491449833553920" 1479925427 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"151" "801491393508241409" 1479925413 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"152" "801491354215972869" 1479925404 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
